Name,Carbon
DD-1-33,1.18473
DD-1-25,0.5842
DD-1-36,1.34483
DD-1-17,0.17236
DD-1-18,0.15737
DD-1-15,0.16303
DD-1-38,1.01317
DD-1-35,1.02084
DD-1-26,1.29645
DD-1-5,0.21571
DD-1-39,1.85264
DD-1-42,2.05277
DD-1-27,1.31988
DD-1-23,0.28876
DD-1-31,0.73643
DD-1-13,0.18584
DD-1-14,0.215
DD-1-4,0.3577
DD-1-24,0.53941
DD-1-16,0.18642
DD-1-40,1.75804
DD-1-34,1.19495
DD-1-21,0.18401
DD-1-28,0.18056
DD-1-29,1.71966
DD-1-32,0.792
DD-1-1,0.17822
DD-1-41,0.91538
DD-1-37,1.64781
DD-1-11,0.13774
DD-1-6,0.1683
DD-1-8,0.1565
DD-1-7,0.19234
DD-1-30,1.68188
DD-1-9,0.37439
DD-1-20,0.28559
DD-1-19,0.12022
DD-1-2,0.15922
DD-1-10,0.11687
DD-1-12,0.12296
