ID,section,section.ID,weight_tube_gram,weight_samples_gram,weight_after_gram
MS_TOC_1,Festningen,Fe103,4.7265,0.4986,5.1299
MS_TOC_2,Festningen,Fe82,4.7347,0.5246,5.2172
MS_TOC_3,Festningen,Fe91,4.7259,0.4982,4.8831
MS_TOC_4,Festningen,Fe90,4.7392,0.5521,4.9525
MS_TOC_5,Festningen,Fe84,4.7427,0.5031,5.197
MS_TOC_6,Festningen,Fe74,4.7178,0.4912,5.0769
MS_TOC_7,Festningen,Fe72,4.7188,0.4947,5.1696
MS_TOC_8,Festningen,Fe66,4.7318,0.5093,5.1977
MS_TOC_9,Festningen,Fe71,4.7302,0.5075,5.1815
MS_TOC_10,Festningen,Fe80,4.7306,0.5249,5.2189
MS_TOC_11,Festningen,Fe98,4.7066,0.503,5.1338
MS_TOC_12,Festningen,Fe87,4.7304,0.5375,5.232
MS_TOC_13,Festningen,Fe94,4.7424,0.5016,5.0208
MS_TOC_14,Festningen,Fe97,4.7308,0.4924,5.1505
MS_TOC_15,Festningen,Fe95,4.7433,0.4952,5.1493
MS_TOC_16,Festningen,Fe79,4.741,0.5236,5.2338
MS_TOC_17,Festningen,Fe100,4.7234,0.5246,5.1564
MS_TOC_18,Festningen,Fe93,4.7412,0.5035,4.9604
MS_TOC_19,Festningen,Fe89,4.7317,0.535,5.0692
MS_TOC_20,Festningen,Fe99,4.7436,0.4913,5.1694
MS_TOC_21,Festningen,Fe86,4.7065,0.5525,5.2109
MS_TOC_22,Festningen,Fe68a,4.7057,0.5297,5.198
MS_TOC_23,Festningen,Fe70,4.7298,0.5031,5.1849
MS_TOC_24,Festningen,Fe101,4.7549,0.5129,5.1931
MS_TOC_25,Festningen,Fe68b,4.7198,0.512,5.1918
MS_TOC_26,Festningen,Fe81,4.7408,0.5024,5.2088
MS_TOC_27,Festningen,Fe76b,4.7189,0.5001,5.1745
MS_TOC_28,Festningen,Fe69b,4.7402,0.4999,5.1983
MS_TOC_29,Festningen,Fe77,4.7311,0.5507,5.2421
MS_TOC_30,Festningen,Fe83,4.727,0.5143,5.2047
MS_TOC_31,Festningen,Fe69a,4.7407,0.5132,5.2144
MS_TOC_32,Festningen,Fe73,4.7266,0.5151,5.1605
MS_TOC_33,Festningen,Fe85,4.725,0.5152,5.1729
MS_TOC_34,Festningen,Fe96,4.7412,0.5122,5.2033
MS_TOC_35,Festningen,Fe92,4.7404,0.5069,5.1968
MS_TOC_36,Festningen,Fe68c,4.7287,0.512,5.0974
MS_TOC_37,Festningen,Fe88,4.7278,0.4932,5.1808
MS_TOC_38,Festningen,Fe78,4.718,0.5085,5.194
MS_TOC_39,Festningen,Fe102,4.719,0.544,5.1898
MS_TOC_40,Festningen,Fe75,4.7408,0.5136,5.2116
MS_TOC_41,Deltadalen,DD-1-20,4.7546,0.5774,5.2524
MS_TOC_42,Deltadalen,DD-1-29,4.7566,0.5825,5.2459
MS_TOC_43,Deltadalen,DD-1-9,4.7511,0.5766,5.168
MS_TOC_44,Deltadalen,DD-1-7,4.7545,0.9184,5.5304
MS_TOC_45,Deltadalen,DD-1-35,4.7247,1.0176,5.5707
MS_TOC_46,Deltadalen,DD-1-26,4.7234,0.5579,5.1979
MS_TOC_47,Deltadalen,DD-1-38,4.7565,1.0004,5.6195
MS_TOC_48,Deltadalen,DD-1-19,4.7412,1.0221,5.6841
MS_TOC_49,Deltadalen,DD-1-40,4.766,0.9513,5.582
MS_TOC_50,Deltadalen,DD-1-16,4.7287,0.7698,5.1952
MS_TOC_51,Deltadalen,DD-1-32,4.7453,0.9328,5.5494
MS_TOC_52,Deltadalen,DD-1-21,4.7421,0.6729,5.3106
MS_TOC_53,Deltadalen,DD-1-27,4.757,0.7503,4.9822
MS_TOC_54,Deltadalen,DD-1-42,4.7446,0.6448,5.2869
MS_TOC_55,Deltadalen,DD-1-13,4.7607,1.051,5.721
MS_TOC_56,Deltadalen,DD-1-33,4.7582,1.0102,5.6553
MS_TOC_57,Deltadalen,DD-1-41,4.7647,0.5632,5.2231
MS_TOC_58,Deltadalen,DD-1-24,4.7606,0.7909,5.4395
MS_TOC_59,Deltadalen,DD-1-30,4.7539,0.9764,5.5984
MS_TOC_60,Deltadalen,DD-1-37,4.7553,1.0242,5.6156
MS_TOC_61,Deltadalen,DD-1-31,4.7353,1.0695,5.6769
MS_TOC_62,Deltadalen,DD-1-15,4.7249,0.9145,5.5463
MS_TOC_63,Deltadalen,DD-1-14,4.7484,0.9537,5.5587
MS_TOC_64,Deltadalen,DD-1-5,4.7477,1.025,5.534
MS_TOC_65,Deltadalen,DD-1-34,4.7315,0.8253,5.4241
MS_TOC_66,Deltadalen,DD-1-4,4.7387,5.6141,5.4275
MS_TOC_67,Deltadalen,DD-1-39,4.7613,1.036,5.6482
MS_TOC_68,Deltadalen,DD-1-17,4.2639,0.7178,5.3724
MS_TOC_69,Deltadalen,DD-1-18,4.7265,0.7756,5.4012
MS_TOC_70,Deltadalen,DD-1-11,4.7627,0.941,5.5682
MS_TOC_71,Deltadalen,DD-1-8,4.7448,0.8038,5.4392
MS_TOC_72,Deltadalen,DD-1-23,4.7582,1.1044,5.7226
MS_TOC_73,Deltadalen,DD-1-2,4.7412,1.0195,5.5456
MS_TOC_74,Deltadalen,DD-1-28,4.7507,0.8297,5.3905
MS_TOC_75,Deltadalen,DD-1-3,4.7416,1.0135,5.5824
MS_TOC_76,Deltadalen,DD-1-25,4.7353,0.7743,5.3852
MS_TOC_77,Deltadalen,DD-1-6,4.7465,0.9705,5.5767
MS_TOC_78,Deltadalen,DD-1-36,4.7307,0.5837,5.2242
MS_TOC_79,Deltadalen,DD-1-12,4.7369,1.1555,5.302
MS_TOC_80,Deltadalen,DD-1-1,4.745,0.7164,5.7754
MS_TOC_81,Deltadalen,DD-1-10,4.7579,1.0902,5.7574
