ID,V,Mo,Re,U
MS_TD_50,26.708,0.397,1.718,0.828
MS_TD_52,41.612,0.3945,2.421,0.989
MS_TD_53,40.949,0.1035,2.623,0.918
MS_TD_54,72.96,0.912,1.523,1.301
MS_TD_55,39.417,0.6015,NA,0.872
MS_TD_56,24.956,0.5255,4.016,0.856
MS_TD_57,62.628,0.745,NA,0.902
MS_TD_58,57.374,1.7605,1.84,1.215
MS_TD_59,31.095,0.1825,1.805,0.809
MS_TD_60,26.405,0.1775,5.624,0.897
MS_TD_61,45.524,0.293,3.819,2.474
MS_TD_62,80.094,0.284,1.433,1.008
MS_TD_63,65.836,1.1125,5.171,3.153
MS_TD_64,21.618,0.331,2.838,0.785
MS_TD_67,51.56,0.231,1.247,0.754
MS_TD_68,36.242,0.281,2.685,0.788
MS_TD_69,28.979,1.263,NA,0.728
MS_TD_70,NA,0.393,1.647,0.808
MS_TD_71,NA,0.445,1.728,0.66
MS_TD_72,49.391,0.222,NA,0.827
MS_TD_73,28.976,0.2875,2.007,0.824
MS_TD_74,24.522,0.376,4.031,0.943
MS_TD_75,23.219,0.1625,1.463,0.638
MS_TD_76,21.673,0.499,NA,0.688
MS_TD_77,108.824,0.3575,3.435,0.452
MS_TD_78,25.872,0.4555,2.03,0.691
MS_TD_79,27.354,0.423,2.197,0.748
MS_TD_80,NA,0.421,5.974,1.066
MS_TD_81,50.459,1.11,1.232,0.794
MS_TD_82,20.576,0.9005,4.327,0.867
MS_TD_83,NA,0.5175,NA,0.552
MS_TD_84,NA,0.368,8.684,0.66
MS_TD_85,NA,0.5235,3.268,0.706
MS_TD_86,NA,0.65,2.463,0.767
MS_TD_87,21.638,0.2075,2.626,0.9
MS_TD_88,22.172,0.5925,3.474,0.895
MS_TD_89,NA,0.4035,10.687,0.708
MS_TD_90,58.682,0.711,4.808,1.64
MS_TD_91,58.337,0.694,4.181,1.644
MS_TD_92,53.382,0.6375,4.057,1.584
MS_TD_93,98.376,1.2875,6.608,2.483
MS_TD_94,98.399,1.064,6.373,2.436
MS_TD_95,98.464,1.06,6.278,2.466
MS_TD_96,187.745,2.007,12.157,4.565
MS_TD_97,141.614,1.572,8.699,3.354
MS_TD_98,140.903,1.635,9.113,3.44
MS_TD_99,NA,NA,NA,NA
MS_TD_206,57.851,0.697,4.106,1.65
MS_TD_207,77.6,0.8585,5.211,2.088
MS_TD_208,90.022,2.0925,6.29,2.232
MS_TD_209,41.956,2.715,2.556,1.17
MS_TD_210,70.793,1.542,1.797,0.713
MS_TD_211,25.794,3.457,1.292,0.627
MS_TD_212,58.698,1.076,2.132,0.693
MS_TD_214,NA,NA,1.709,0.958
MS_TD_215,32.145,0.701,1.374,0.707
MS_TD_216,57.858,0.794,2.6,0.936
MS_TD_217,NA,0.1535,NA,0.519
MS_TD_218,NA,0.107,2.275,0.966
MS_TD_219,56.72,3.4915,2.357,0.808
MS_TD_220,28.331,0.9815,NA,0.613
MS_TD_221,NA,0.1005,1.848,1.424
MS_TD_222,57.978,2.877,5.379,0.803
MS_TD_223,28.035,1.778,1.66,0.962
MS_TD_224,NA,0.569,4.411,1.145
MS_TD_225,NA,0.171,1.916,1.014
MS_TD_226,47.393,1.5345,1.917,1.034
MS_TD_227,25.913,1.0445,NA,0.587
MS_TD_228,NA,0.1745,2.484,0.883
MS_TD_229,NA,0.187,2.052,0.878
MS_TD_230,91.83,2.939,1.961,0.722
MS_TD_231,102.442,1.043,6.309,2.361
MS_TD_232,62.995,0.8565,4.539,1.639
MS_TD_233,101.221,1.636,6.341,2.394
MS_TD_234,25.344,0.161,4.503,2.11
MS_TD_235,26.634,0.135,3.961,1.677
MS_TD_236,37.379,0.3315,20.031,5.026
MS_TD_237,33.566,1.3825,1.878,0.811
MS_TD_238,NA,NA,NA,0.489
MS_TD_239,38.321,0.388,NA,0.549
MS_TD_240,NA,0.1465,2.382,1.399
MS_TD_241,68.883,3.8635,2.109,2.011
MS_TD_242,NA,1.6955,3.677,1.078
MS_TD_243,NA,0.2135,3.701,1.016
MS_TD_244,NA,0.161,NA,0.374
MS_TD_245,NA,0.226,NA,0.419
MS_TD_246,21.27,0.592,1.339,0.613
MS_TD_247,NA,0.1735,5.423,3.647
MS_TD_248,32.054,2.642,21.228,2.37
MS_TD_249,22.208,0.2165,11.861,6.184
MS_TD_250,NA,1.7125,3.168,0.59
MS_TD_251,NA,0.492,NA,0.578
MS_TD_252,NA,0.1245,2.775,2.34
MS_TD_253,31.753,11.7075,11.112,1.546
MS_TD_254,55.303,17.884,16.149,2.321
MS_TD_255,47.752,15.575,14.309,2.054
MS_TD_256,NA,NA,NA,NA
MS_TD_257,NA,NA,NA,NA
MS_TD_258,NA,NA,NA,NA
