Sample Number,Name,Height (nA),Weight (mg),Elemental Composition Sulphur,S34
137,DD-1-10,1.027705125,0.125,11.020648,-2.0602039914
99,DD-1-11,0.922939875,0.11,10.771466,-5.5653764111
127,DD-1-12,0.6096430625,0.1,9.643157,-9.5517233674
91,DD-1-13,1.0436220625,0.12,11.419724,-5.0033159988
161,DD-1-14,1.201923125,0.147,10.892642,-14.4057329948
63,DD-1-15,0.589949875,0.122,6.620216,-11.9284671022
133,DD-1-16,1.171638,0.138,11.319248,-33.0284959781
101,DD-1-17,0.8524705625,0.107,10.977154,-5.81625605
171,DD-1-18,0.8127204375,0.101,11.139477,-28.4198793119
135,DD-1-19,1.104295125,0.12,12.338665,-23.3174981765
97,DD-1-1,1.38174125,0.154,11.689102,-6.8274601124
69,DD-1-22,1.002672125,0.117,10.840503,-25.6136498511
89,DD-1-21,1.272618,0.153,10.829216,-31.1458045316
129,DD-1-23,1.499400125,0.175,12.017797,30.6977403273
153,DD-1-24,1.027872,0.127,11.155459,-35.9205655717
131,DD-1-25,1.092024625,0.135,11.005871,-30.4684163728
55,DD-1-26,1.6342935,0.176,11.715289,-33.3665037261
125,DD-1-27,1.158752,0.13,11.833482,-27.0433783285
167,DD-1-28,1.21663875,0.146,11.383723,-25.1602873474
85,DD-1-29,1.087707875,0.131,10.712563,-44.1388680618
53,DD-1-2,1.5939695,0.181,11.767456,-3.8057045271
165,DD-1-30,0.744289625,0.098,10.313184,-28.2543371655
93,DD-1-31,1.02671775,0.121,12.441107,-32.2625483126
155,DD-1-32,1.13876325,0.132,11.521459,-27.8725961171
163,DD-1-33,1.502576125,0.176,11.384447,-32.1305716441
103,DD-1-34,0.907143,0.105,11.480696,-30.638063849
65,DD-1-35,1.471560875,0.159,12.851199,-22.012921947
169,DD-1-36,1.0345059375,0.122,11.688678,-28.3272607552
119,DD-1-37,1.28175775,0.147,11.208129,-25.7555358986
57,DD-1-39,1.194150375,0.135,11.975387,-27.1348600684
121,DD-1-3,0.9825584375,0.121,11.027243,-7.8036972404
87,DD-1-40,1.61130875,0.18,11.69542,-27.6066885772
51,DD-1-41,1.182437,0.137,11.394347,-17.7116969279
61,DD-1-42,0.8411915,0.098,11.301709,-25.8316124104
95,DD-1-4,1.0253025625,0.117,12.37317,-7.9514219621
59,DD-1-5,1.465339375,0.164,11.705304,-10.7767823022
67,DD-1-6,1.139853375,0.129,11.637609,-9.0516490536
157,DD-1-7,0.831993,0.104,10.728962,-16.737623028
123,DD-1-8,0.9211505625,0.108,11.314467,-15.1301688773
