section ID,P[tot](wt. %),Al[tot](wt. %),Fe[tot](wt. %),Mo[tot](µg/g),Re[tot](ng/g),U[tot](µg/g),Fe[carb](wt. %),Fe[ox](wt. %),Fe[mag](wt. %),Fe[PR](wt. %),P[ox1](wt. %),P[ox2](wt. %),P[aut](wt. %),P[det](wt. %),P[mag](wt. %),P[org](wt. %)
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,NA,NA,NA
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001,0.0019,0.0267,0.0553,0.0000,0.0018
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0020,0.0297,0.0544,0.0000,0.0022
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0018,0.0297,0.0540,0.0000,0.0023
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0015,0.0331,0.0525,0.0000,0.0023
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0020,0.0286,0.0545,0.0000,0.0022
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0011,0.0306,0.0183,0.0001,0.0109
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0013,0.0262,0.0215,0.0000,0.0110
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0011,0.0312,0.0193,0.0000,0.0108
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0012,0.0279,0.0190,0.0000,0.0092
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0013,0.0272,0.0203,0.0001,0.0100
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0003,0.0075,0.0108,0.0000,0.0001
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0003,0.0073,0.0103,0.0000,0.0001
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0003,0.0074,0.0102,0.0000,0.0002
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0003,0.0081,0.0100,0.0000,0.0001
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0004,0.0073,0.0109,0.0000,0.0001
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0003,0.0086,0.0085,0.0000,0.0001
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0002,0.0078,0.0089,0.0000,0.0007
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0002,0.0073,0.0078,0.0000,0.0000
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0005,0.0004,0.0343,0.0196,0.0000,0.0058
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0009,0.0002,0.0129,0.0049,0.0003,0.0001
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0003,0.0002,0.0249,0.0628,0.0028,0.0009
WHIT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0000,0.0271,0.0177,0.0012,0.0119
KL134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0001,0.0000,0.0192,0.0621,0.0023,0.0049
BHW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0000,0.0001,0.0060,0.0132,0.0005,0.0010
